baseline,sv-01,"Hej Kalle Andersson (841010-1212)! Du glömde ditt id-kort på kontoret igår. Din hemadress är Storgatan 15 A, 111 22 Sthlm. Ring mig på 0701112233 så löser vi det. Ang. leveransen måste vi ha dina nya koordinater senast fre.",3,3,3,
baseline,sv-02,"Patient: Elin Gustafsson, p-nr: 900505 4444. Kl. 14:00 tisdag är det dags för återbesök. Sjuksköterska Maria nås på mobil 08-9876543. Glöm inte medicinerna. Brev skickas till hennes adress: Björkgatan 3, 222 33 Lund. Hör av dig vid frågor.",4,4,4,
baseline,sv-03,"Faktura för konsulttjänster. Organisation 5567891234. Skickas till: Per Svensson, Kaptensgatan 10, 211 00 Malmö. Betalning 30 dagar. Kontakta ekonomi om du har frågor om fakturan på mejl per.s@firman.com. Tel: 046-55555.",4,4,4,
baseline,sv-04,Lönespec. för dec. finns på intranätet. Frågor rörande utbet. kan ställas till David Olsson. Han nås via mail david.olsson@foretaget.com (OBS: nytt domän!) eller på internt nr 7890. Glöm inte ditt p-nr: 751212-0000 för systeminloggning.,4,4,4,
baseline,sv-05,"Tack för felanmälan 45690 angående nätverket. Vi kontaktar dig, Adam Lindgren, på 073 123 45 67, så snart teknikern är på plats. Det är viktigt att vi kan nå dig. Vårt kontor finns på Teknikringen 4 B, 752 30 Uppsala.",3,3,3,
baseline,sv-06,"Ang. ansökan. Namn: Johan Hellström. Vi behöver p-nr 750619 1212 för verifiering (är du säker på att det stämmer?). Vänligen maila till info@skatteverket.se eller ring 0771-567567. Skickas till: Kungsgatan 12, 753 02 Upps.",5,5,5,
baseline,sv-07,"Journalutdrag: Sara Månsson, född 19901010-4321. Uppsökte VC med smärta i höger knä. Kontakt: 018-123456. Hemadress: Stortorget 5, 753 02 Uppsala. Behöver tid för fysioterapi. Kompletterande info skickas till sara.m@vardcentralen.se.",5,5,5,
baseline,sv-08,"Betala skolavgift senast 2024-09-01. För frågor, kontakta ekonomin på skolan. Vi har David Ström som ansvarig. Han nås på david.strom@skola.edu. Tel: 013 998877. Vår adress: Skolvägen 5, 582 00 Linköping. Tack för din uppmärksamhet.",4,4,4,
baseline,sv-09,"Systeminloggning. Ditt personnummer 7705181010 är nu din temporära inloggning. Endast behörig personal (typ Camilla Ek) kommer att se detta. Ring oss på +46 70 000 11 22 för verifiering. Din bostadsadress är Äppelgatan 8, 123 45 Stockholm.",3,3,3,
baseline,sv-10,"Angående din anställning, Eva Anka. Kontraktsändringen skickas till eva.anka@jobbet.nu (glömde du byta domän?). För att diskutera detaljer, boka tid med HR-chef Karl Nordin. Han sitter på Lilla Torg 1, Malmö. Ring honom på 070-912 31 23.",4,4,4,
baseline,sv-11,"Påminnelse. Adressändring för Pelle Karlsson. Ny adress: Hemvägen 10 B, 412 00 Göteborg. Vi har noterat ditt p-nr: 19700404-5555. För snabbare hantering, använd e-legitimation. Kontakta oss på 0771-88 88 88 om deklarationsfrågor.",4,4,4,
baseline,sv-12,"Anteckningar: Klient heter Anna Ahlgren (9207073333). Bor: Rådhusgatan 3 C, 802 00 Gävle. Ont i ryggen sedan två veckor. Kontaktas på 0701111111 eller anna.ahlgren@privatklinik.nu. Patienten har en historik med smärta.",5,4,4,
baseline,sv-13,"Ny postadress för fakturor: Box 5000, 101 42 Stockholm. Org.nr: 223344-5566. Uppdatera era system omedelbart. Kontakta Cecilia Eriksson på cecilia.e@ekonomi.se eller ring 08-555 55 55. OBS! Vår gamla adress stängs ner snart.",5,3,3,
baseline,sv-14,"Info elev: Johan Lind (0511112222). Föräldrakontakt tel: 0704444444. Vårdnadshavare: Lena Lind. Adress: Solgatan 5, 722 00 Västerås. Alla elever måste ha uppdaterad lista! Skolan nås via info@skola.nu. Ring vid AKUTA ärenden.",6,5,4,
baseline,sv-15,"Sjukpenning: Handläggare David Söderberg. Kontakt: 016 12 34 56. Ditt p-nr är 6509096789. Skicka komplettering till david.soderberg@fkassan.se. Skickas per brev till Postbox 123, 701 00 Örebro. Obs! Svar krävs snarast.",5,5,5,
baseline,sv-16,"Angående din reseräkning. Har frågor. Kontakta Maria Johansson (ekonomiansvarig) på 070-123 45 67. Skicka kvitton till maria.johansson@foretag.net. Faktureringsadress: Tegelbacken 1, 101 00 Stockholm. Vi behöver det innan helgen.",4,4,4,
baseline,sv-17,Ditt lösenord för Lena Persson (900505-7777) går ut. Byt på https://secure.intranet.com. Kontakta support@tech.se vid strul. Ring oss på +468998877. Vårt org.nummer är 998877 6655. OBS! Vi kommer inte att skicka lösenord via mail.,5,5,5,
baseline,sv-18,"Hej Erik Nilsson! Vi har bokat in lönesamtal den 25:e oktober. Vänligen bekräfta din närvaro. Din adress är Västra Gatan 1, 302 00 Halmstad. Du kan också ringa oss på 035112233. Handläggare: Eva Sjöström. Kontakta henne om det inte passar.",4,3,3,
baseline,sv-19,"Passärende. Dubbelkolla att din adress stämmer: Kungsholmsgatan 1, 112 00 Stockholm. Har du frågor, kontakta handläggare Sara Lindgren. Vi nås på sara.lindgren@stat.gov eller telefon 08 4567890. Kom ihåg ditt referensnummer, 12345.",4,4,4,
baseline,sv-20,"Medicinsk info för patient Lisa Östlund (195001019999). Kallelsen skickades till Fältvägen 22, 252 00 Hbg. Kontakta oss omgående om du bytt telnr. Vårt gamla nummer 042998877 är ej aktivt, använd 042-101010. Obs: Brev skickades igår.",5,4,4,
